'id'|'parent_id'|'name'|'original'|'level'|'count'
'137692'|'144616'|'Консультации по телефону'|''|'3'|'96'
'137693'|'144614'|'Спасательные службы'|''|'3'|'296'
'137694'|'144618'|'Услуги эвакуирования автомобилей'|''|'3'|'4061'
'137695'|'144613'|'Неотложная медицинская служба'|''|'3'|'775'
'137696'|'144611'|'Устранение аварийных ситуаций'|''|'3'|'1342'
'137697'|'144615'|'Услуги справки'|''|'3'|'934'
'137698'|'144609'|'Экстренные службы'|'Службы экстренного вызова'|'2'|'955'
'137699'|'144612'|'Противодействие пожарам'|''|'3'|'1399'
'137700'|'144617'|'Устранение чрезвычайных ситуаций'|''|'3'|'487'
'137702'|'144644'|'Сход-развал'|''|'3'|'4268'
'137703'|'144651'|'Обслуживание кондиционеров'|''|'3'|'2269'
'137704'|'144652'|'Специальное оборудование для авто'|''|'3'|'2592'
'137705'|'144620'|'Автозаправки'|'Автозаправочные станции (азс)'|'3'|'8229'
'137706'|'144625'|'Мойка автомобилей'|''|'3'|'16315'
'137707'|'144634'|'Обработка авто против ржавчины'|''|'3'|'904'
'137708'|'144629'|'Обслуживание автостекол'|'Установка, ремонт автостёкол'|'3'|'6237'
'137709'|'144627'|'Сервисное обслуживание'|''|'3'|'16277'
'137710'|'144654'|'Замена шин'|''|'3'|'23445'
'137711'|'144610'|'Ремонт ходовой'|'Ремонт ходовой части автомобиля'|'2'|'43794'
'137712'|'144646'|'Обслуживание двигателей на дизеле'|'Ремонт дизельных двигателей'|'3'|'14850'
'137713'|'144646'|'Обслуживание двигателей на бензине'|'Ремонт бензиновых двигателей'|'3'|'32178'
'137714'|'144645'|'Починка электрики'|''|'3'|'13099'
'137715'|'144610'|'Ремонт кузова'|'Кузовной ремонт'|'2'|'29669'
'137716'|'144610'|'Техосмотр'|'Технический осмотр транспорта'|'2'|'6154'
'137717'|'144641'|'Сельскохозяйственные детали'|''|'3'|'3231'
'137718'|'144648'|'Карбюраторный ремонт'|''|'3'|'2632'
'137719'|'144610'|'Обслуживание спецавтотехники'|'Ремонт спецавтотехники'|'2'|'3034'
'137720'|'144623'|'Запчасти на отечественное авто'|''|'3'|'15336'
'137721'|'144621'|'Грузовые запчасти'|''|'3'|'11059'
'137722'|'144650'|'Ремонт электроники в авто'|''|'3'|'2910'
'137723'|'144633'|'Краски для авто'|''|'3'|'2650'
'137724'|'144639'|'Детали на спецавтотехнику'|''|'3'|'5061'
'137725'|'144622'|'Запчасти на иномарки'|''|'3'|'32763'
'137726'|'144637'|'Газификация транспорта'|''|'3'|'1093'
'137727'|'144653'|'Тонировка'|''|'3'|'4411'
'137728'|'144636'|'Улучшение характеристик авто'|'Тюнинг'|'3'|'13072'
'137729'|'144619'|'Принадлежности для автомобилей'|''|'3'|'17422'
'137730'|'144631'|'Средства и масла для автомобиля'|''|'3'|'17334'
'137731'|'144624'|'Акустика для автомобилей'|''|'3'|'4125'
'137732'|'144628'|'Автомобильные сигнализации'|''|'3'|'5507'
'137733'|'144610'|'Ремонт мотоциклов'|'Ремонт мототехники'|'2'|'784'
'137734'|'144647'|'Обслуживание грузовиков'|''|'3'|'3877'
'137735'|'144632'|'Резина и диски для авто'|''|'3'|'7492'
'137736'|'144629'|'Стекло для автомобиля'|'Автостекло'|'3'|'6217'
'137737'|'144635'|'Автоматическая замена масла'|''|'3'|'5821'
'137738'|'144610'|'Ремонт коробки передач'|''|'2'|'4048'
'137739'|'144630'|'Стоянки для авто'|''|'3'|'9807'
'137740'|'144610'|'Аккумуляторы для автомобилей'|'Автомобильные аккумуляторы'|'2'|'14743'
'137741'|'144642'|'Б/у детали контрактные'|''|'3'|'4492'
'137742'|'144626'|'Б/у запчасти'|''|'3'|'1361'
'137743'|'144643'|'Изготовление чехлов'|''|'3'|'292'
'137744'|'0'|'Администрация города'|'Городская администрация'|'1'|'0'
'137745'|'144664'|'Дома малютки'|''|'3'|'149'
'137746'|'144691'|'Ветеринарные службы'|'Отделы ветеринарно-санитарного контроля'|'3'|'649'
'137747'|'144660'|'Служба метеорологии'|''|'3'|'131'
'137748'|'144666'|'Органы власти'|''|'3'|'510'
'137749'|'144672'|'Служба пенсионных выплат и пособий'|''|'3'|'44'
'137750'|'144691'|'Надзорные государственные службы'|'Органы государственного надзора'|'3'|'1947'
'137751'|'144681'|'ФМС'|''|'3'|'1336'
'137752'|'144685'|'Органы военного управления'|''|'3'|'79'
'137753'|'144667'|'Организация выборов'|''|'3'|'476'
'137754'|'137744'|'Приемная депутата'|'Приёмные депутатов'|'2'|'1827'
'137755'|'144659'|'Благотворительные организации'|''|'3'|'1357'
'137756'|'144695'|'Судебные приставы'|''|'3'|'589'
'137757'|'144596'|'Природоохранные организации'|'Организации природоохраны'|'2'|'3070'
'137758'|'144596'|'Судмедэксперты'|'Судебная экспертиза'|'2'|'5491'
'137759'|'144687'|'Надзорные инспекции'|''|'3'|'1018'
'137760'|'144689'|'Органы налоговой службы'|''|'3'|'641'
'137761'|'144684'|'Учетно-призывные органы'|''|'3'|'540'
'137762'|'144665'|'Органы регистрации гражданского состояния'|''|'3'|'584'
'137763'|'144682'|'Государственные органы управления'|''|'3'|'3571'
'137764'|'144686'|'Временные органы для изоляции правонарушителей'|''|'3'|'138'
'137765'|'144675'|'Представительные органы субъектов федерации'|'Представительства субъектов рф'|'3'|'139'
'137766'|'144692'|'Полицейские отделения'|''|'3'|'1225'
'137767'|'144690'|'Отделы и управления МВД'|''|'3'|'1132'
'137768'|'144596'|'Участковые полицейские пункты'|'Участковые пункты полиции'|'2'|'7849'
'137769'|'144669'|'Многофункциональные центры'|''|'3'|'369'
'137770'|'144657'|'Органы управления города'|'Администрация города, городского округа'|'3'|'3086'
'137771'|'144696'|'Органы правосудия'|''|'3'|'3178'
'137772'|'144670'|'Заведения для бездомных'|''|'3'|'12'
'137773'|'144596'|'Органы ГИБДД'|'Гибдд'|'2'|'1522'
'137774'|'144674'|'Организации в сфере политики'|''|'3'|'1038'
'137775'|'144683'|'Фонд ОМС'|'Фонд обязательного медицинского страхования'|'3'|'460'
'137776'|'144694'|'Следственные органы'|''|'3'|'576'
'137777'|'144661'|'Архивные государственные организации'|''|'3'|'524'
'137778'|'144683'|'Социальное страхование граждан'|'Фонды социального страхования'|'3'|'723'
'137779'|'144688'|'Тюрьмы'|''|'3'|'246'
'137780'|'144656'|'Администрации районов города'|'Администрации районов, округов городской власти'|'3'|'4013'
'137781'|'144679'|'Органы социальной защиты'|''|'3'|'2916'
'137782'|'144596'|'Таможенные органы'|'Таможня'|'2'|'494'
'137783'|'144673'|'Пенсионный фонд РФ'|''|'3'|'927'
'137784'|'144680'|'Казначейские органы'|''|'3'|'380'
'137785'|'144663'|'Социальные организации для пенсионеров'|''|'3'|'398'
'137786'|'144693'|'Прокуратуры'|''|'3'|'888'
'137787'|'144675'|'Дипломатические организации'|'Посольства, консульства'|'3'|'342'
'137788'|'144678'|'Биржи труда'|''|'3'|'575'
'137789'|'144671'|'Общественные объединения граждан'|''|'3'|'11503'
'137790'|'144662'|'Социальные организации для детей'|''|'3'|'457'
'137791'|'137744'|'Нотариальные органы'|'Нотариальные палаты'|'2'|'137'
'137792'|'144677'|'Приемные организаций по защите прав человека'|''|'3'|'58'
'137793'|'144676'|'Федеральные органы управления'|''|'3'|'2473'
'137794'|'0'|'Развлечения и досуг'|''|'1'|'10'
'137795'|'137794'|'Районные дома культуры'|'Дома, дворцы культуры'|'2'|'3658'
'137796'|'144721'|'Рестораны японской кухни'|''|'3'|'3164'
'137797'|'144718'|'Заведения общественного питания'|''|'3'|'35545'
'137798'|'144705'|'Музей морской природы'|''|'3'|'19'
'137799'|'137794'|'Билеты на развлекательные мероприятия'|'Продажа билетов на спортивные, культурно-развлекательные мероприятия'|'2'|'2713'
'137800'|'137794'|'Лотерейные билеты'|'Продажа лотерейных билетов'|'2'|'2234'
'137801'|'144712'|'Оформление праздников'|'Услуги праздничного оформления'|'3'|'15835'
'137802'|'144711'|'Тиры, клубы для стрелков'|''|'3'|'550'
'137803'|'144698'|'Аттракционы и аквапарки'|''|'3'|'84'
'137804'|'144717'|'Организация банкетов на выезде'|''|'3'|'2438'
'137805'|'137794'|'Центры дайвинга'|'Дайвинг-центры'|'2'|'613'
'137806'|'137794'|'Заказ театральных и концентрых мероприятий'|'Организация театральных, концертных мероприятий'|'2'|'1526'
'137807'|'137794'|'Боулинг-клубы'|'Боулинг'|'2'|'998'
'137808'|'144709'|'Спортивно-тактические организации'|''|'3'|'1399'
'137809'|'137794'|'Клубы детского творчества'|'Детские, подростковые клубы'|'2'|'16715'
'137810'|'144706'|'Экскурсионные организации'|''|'3'|'2067'
'137811'|'144708'|'Выставка живых бабочек'|''|'3'|'20'
'137812'|'144701'|'Сад деревьев'|''|'3'|'7'
'137813'|'137794'|'Проведение праздников'|'Организация и проведение праздников'|'2'|'17561'
'137814'|'144719'|'Заведения фаст-фуда'|''|'3'|'9601'
'137815'|'137794'|'Зоопарки'|'Зоопарк'|'2'|'578'
'137816'|'137794'|'Парки'|'Парки культуры и отдыха'|'2'|'732'
'137817'|'144699'|'Залы для бильярда'|''|'3'|'2237'
'137818'|'144700'|'Лотереи и ставки на спорт'|''|'3'|'2066'
'137819'|'137794'|'Фейерверки'|'Салюты'|'2'|'4076'
'137820'|'144597'|'Кофейни и кондитерские'|'Кафе-кондитерские, кофейни'|'2'|'12005'
'137821'|'144712'|'Фотосъемка, видеосъемка с выездом'|'Услуги фото, видеосъёмки на выезде'|'3'|'5840'
'137822'|'137794'|'Игротеки для детей'|'Детские игротеки'|'2'|'973'
'137823'|'144714'|'Питейные заведения'|''|'3'|'12993'
'137824'|'144702'|'Клубы для караоке'|'Караоке-клубы'|'3'|'454'
'137825'|'144703'|'Показ кинофильмов, кинопрокат'|''|'3'|'1252'
'137826'|'144710'|'Столовые, общественное питание'|''|'3'|'6179'
'137827'|'144597'|'Залы для проведения банкетов'|'Банкетные залы'|'2'|'7683'
'137828'|'144715'|'Кулинарные лавки'|''|'3'|'2576'
'137829'|'144704'|'Клубы для ночного досуга'|''|'3'|'2658'
'137830'|'144707'|'Пабы, точки по продаже алкогольных напитков на вынос'|''|'3'|'87'
'137831'|'144716'|'Еда с доставкой'|'Доставка готовых блюд'|'3'|'29588'
'137832'|'137794'|'Общественные бани и сауны'|'Бани, сауны'|'2'|'17842'
'137833'|'144713'|'Цирковые представления'|''|'3'|'66'
'137834'|'144720'|'Рестораны, заведения общественного питания'|''|'3'|'13642'
'137835'|'137794'|'Творческие объединения'|'Творческие коллективы'|'2'|'3678'
'137836'|'137794'|'Ботанические сады'|'Ботанический сад'|'2'|'43'
'137837'|'144722'|'Продажа свежевыжатых соков, кислородных коктейлей'|''|'3'|'467'
'137838'|'0'|'Инфоркоммуникационные технологии, интернет'|''|'1'|'18'
'137839'|'144733'|'Установка и сервис антенного оборудования'|''|'3'|'1378'
'137840'|'137838'|'Провайдеры кабельного телевидения'|'Операторы кабельного телевидения'|'2'|'7539'
'137841'|'144723'|'Интернет-телефония'|''|'3'|'2589'
'137842'|'137838'|'Продажа телефонов и радиотелефонов'|'Телефоны, радиотелефоны'|'2'|'6820'
'137843'|'137838'|'Услуги в области информационной безопасности'|'Информационная безопасность'|'2'|'3571'
'137844'|'137838'|'Продукция компании Upgsm'|''|'2'|'1'
'137845'|'144734'|'Оборудование для навигации'|''|'3'|'4604'
'137846'|'144724'|'Услуги по автоматизации торговых процессов'|'Автоматизация торговли'|'3'|'5367'
'137847'|'144744'|'Ремонт мобильных телефонов'|''|'3'|'13966'
'137848'|'144725'|'Продажа аксессуаров к телефонам'|''|'3'|'24727'
'137849'|'144724'|'Услуги по автоматизации бизнес-процессов'|'Автоматизация бизнес-процессов'|'3'|'12058'
'137850'|'137838'|'Антенны и сопутствующее оборудование'|'Антенное оборудование'|'2'|'7629'
'137851'|'144727'|'Информационные ресурсы города'|''|'3'|'1894'
'137852'|'144724'|'Услуги по автоматизации промышленности'|'Автоматизация производственных процессов'|'3'|'7013'
'137853'|'144741'|'Программное обеспечение'|''|'3'|'7833'
'137854'|'137838'|'Создание и продвижение сайтов'|'Разработка, поддержка, продвижение web-сайтов'|'2'|'20126'
'137855'|'144730'|'Интернет-кафе'|''|'3'|'864'
'137856'|'137838'|'Телефонная связь'|'Услуги телефонной связи'|'2'|'7549'
'137857'|'144739'|'Поисковые сервисы интернета'|''|'3'|'61'
'137858'|'137838'|'Федеральные информационные ресурсы'|'Государственные информационные сайты'|'2'|'33'
'137859'|'144746'|'Мониторинг движения транспорта'|''|'3'|'1353'
'137860'|'144726'|'Программы для бухгалтерии'|'Бухгалтерские программы'|'3'|'6956'
'137861'|'137838'|'Продажа средств радиосвязи'|'Средства радиосвязи'|'2'|'2165'
'137862'|'144731'|'Продажа мобильных телефонов'|''|'3'|'28892'
'137863'|'144747'|'Разработка и установка объектов связи'|''|'3'|'1312'
'137864'|'144728'|'Провайдеры интернета'|''|'3'|'8078'
'137865'|'144745'|'Объявления онлайн'|''|'3'|'305'
'137866'|'144737'|'Офисные телефонные станции'|''|'3'|'1346'
'137867'|'137838'|'Услуги хостинга'|'Хостинг'|'2'|'3660'
'137868'|'144726'|'Справочно-правовые системы'|'Правовые программы'|'3'|'1428'
'137869'|'144732'|'Прокладка телефонных сетей'|''|'3'|'1548'
'137870'|'144729'|'Оборудование для связи'|''|'3'|'1354'
'137871'|'137838'|'Средства спутниковой связи'|'Спутниковая связь'|'2'|'1176'
'137872'|'144740'|'Отделения почты'|''|'3'|'6259'
