абразивный-инструмент|560|Абразивный инструмент
пескоструйное-оборудование|50|Абразивоструйное оборудование
аварийные-службы|3470|Аварийные службы
авиабилеты|1680|Авиабилеты
перевозки-авиатранспортом|1260|Авиагрузоперевозки
авиакомпании|100|Авиакомпании
авиационные-клубы|100|Авиационные клубы
автоаксессуары-принадлежности-для-автомобилей|3080|Автоаксессуары|Автозапчасти / Автоаксессуары
автобусные-билеты|150|Автобусные билеты
автозаправки|10|Автозаправочные станции (азс)|Автозаправочные станции (АЗС)|Заправочные станции
автозапчасти-для-грузовых-автомобилей|9480|Автозапчасти для грузовых автомобилей|Автозапчасти / Автоаксессуары
автозапчасти-для-иномарок|25370|Автозапчасти для иномарок|Автозапчасти / Автоаксессуары
автозапчасти-для-отечественных-автомобилей|5130|Автозапчасти для отечественных автомобилей|Автозапчасти / Автоаксессуары
звуковое-оборудование-для-авто|280|Автозвук
услуги-по-автоматизации-бизнес-процессов|10|Автоматизация бизнес-процессов
услуги-автоматизации-инженерных-систем|20|Автоматизация инженерных систем
услуги-по-автоматизации-промышленности|130|Автоматизация производственных процессов
услуги-по-автоматизации-торговых-процессов|80|Автоматизация торговли
автомобилестроительные-организации|110|Автомобилестроение
аккумуляторы-для-автомобилей|4710|Автомобильные аккумуляторы
автомойки|13440|Автомойки
сто-авторемонт|7250|Авторемонт и техобслуживание (сто)|Авторемонт и техобслуживание (СТО)|Ремонт автобусов|Ремонт МКПП
стекло-для-автомобиля|180|Автостекло
автостоянки|10010|Автостоянки|Коллективные автостоянки
школы-подготовки-водителей|20|Автошколы|Мотошколы
автоэкспертиза|4150|Автоэкспертиза
автоэмали-и-краски|8970|Автоэмали
услуги-агентств-для-морских-судов|60|Агентирование морских судов|Фрахтование морских судов|Шипчандлерские услуги
услуги-агентств-недвижимости|100|Агентства недвижимости
подписка-на-периодические-издания|40|Агентства по подписке печатных изданий
международные-кадровые-агентства|270|Агентства по трудоустройству за рубежом
администрации-поселений|280|Администрации поселений
высшие-учебные-заведения-академии|480|Академии
аквариумы|1360|Аквариумы
акватеррариумы|40|Акватеррариум
продажа-аксессуаров-для-ванной|50|Аксессуары для ванных комнат
аксессуары-к-мобильным-телефонам|980|Аксессуары к мобильным телефонам
услуги-личных-менеджеров-для-актеров|20|Актёрские агентства
продажа-алкогольных-напитков|1630|Алкогольные напитки
антенны-и-сопутствующее-оборудование|20|Антенное оборудование
продажа-антиквариата|70|Антиквариат
антикоррозийная-обработка-автомобилей|3000|Антикоррозийная обработка автомобилей
антикоррозийная-обработка-металлоконструкций|150|Антикоррозийная обработка металлоконструкций
аппаратная-замена-масла|870|Аппаратная замена масла
продажа-лекарств-и-аптеки|15240|Аптеки
услуги-арбитражного-управляющего|20|Арбитражный управляющий
услуги-аренды-помещений|2320|Аренда помещений
услуги-аромамаркетинга|10|Аромамаркетинг|Ароматовары
архивные-услуги|60|Архивные услуги
услуги-архитектурного-проектирования|2160|Архитектурно-строительное проектирование
пошив-и-ремонт-обуви|160|Ателье обувные|Обувные магазины
ателье-трикотажные|5890|Ателье трикотажные
ателье-швейные|18220|Ателье швейные
аудиторские-услуги|920|Аудиторские услуги
аэродинамическая-труба|550|Аэродинамические комплексы
аэропорт|20|Аэропорты
туристистические-базы|50|Базы отдыха
залы-для-проведения-банкетов|30|Банкетные залы
